[metrics-10k] t=207s inserts=2172 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 12, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 10} db=178MB free=4.29GB mergeCPU=184.2s
[metrics-10k] t=212s inserts=2224 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 9} db=161MB free=4.34GB mergeCPU=193.9s
[metrics-10k] t=217s inserts=2278 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 7} db=171MB free=4.29GB mergeCPU=196.6s
[metrics-10k] t=222s inserts=2331 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 16, 'otel_metrics_number_points': 5} db=180MB free=4.22GB mergeCPU=203.5s
[metrics-10k] t=227s inserts=2384 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 10} db=172MB free=4.17GB mergeCPU=207.2s
[metrics-10k] t=232s inserts=2436 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 6} db=170MB free=4.22GB mergeCPU=211.3s
[metrics-10k] t=237s inserts=2489 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 12, 'otel_metrics_number_points': 8} db=180MB free=4.23GB mergeCPU=215.1s
[metrics-10k] t=242s inserts=2541 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 7} db=185MB free=4.35GB mergeCPU=219.5s
[metrics-10k] t=247s inserts=2594 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 10} db=186MB free=4.29GB mergeCPU=223.9s
[metrics-10k] t=252s inserts=2646 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 6} db=186MB free=4.23GB mergeCPU=228.9s
[metrics-10k] t=257s inserts=2699 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 10} db=194MB free=4.17GB mergeCPU=232.1s
[metrics-10k] t=262s inserts=2751 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 14} db=194MB free=4.11GB mergeCPU=236.9s
[metrics-10k] t=267s inserts=2805 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 11} db=203MB free=4.22GB mergeCPU=241.7s
[metrics-10k] t=272s inserts=2859 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 13, 'otel_metrics_number_points': 15} db=211MB free=4.11GB mergeCPU=251.6s
[metrics-10k] t=277s inserts=2913 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 11} db=195MB free=4.11GB mergeCPU=259.5s
[metrics-10k] t=282s inserts=2965 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 7} db=202MB free=4.06GB mergeCPU=262.8s
[metrics-10k] t=287s inserts=3018 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 11} db=214MB free=4.00GB mergeCPU=266.7s
[metrics-10k] t=292s inserts=3071 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 9} db=206MB free=3.95GB mergeCPU=271.8s
[metrics-10k] t=297s inserts=3124 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 13} db=209MB free=3.98GB mergeCPU=276.3s
[metrics-10k] t=302s inserts=3177 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 5} db=213MB free=3.92GB mergeCPU=280.4s
[metrics-10k] t=307s inserts=3229 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 8} db=219MB free=4.13GB mergeCPU=284.3s
[metrics-10k] t=312s inserts=3282 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 10} db=226MB free=4.08GB mergeCPU=288.1s
[metrics-10k] t=317s inserts=3335 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 7} db=231MB free=4.12GB mergeCPU=293.5s
[metrics-10k] t=322s inserts=3388 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 12, 'otel_metrics_number_points': 9} db=242MB free=4.08GB mergeCPU=296.5s
[metrics-10k] t=327s inserts=3439 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 6} db=239MB free=3.97GB mergeCPU=301.8s
[metrics-10k] t=333s inserts=3493 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 10, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 17, 'otel_metrics_number_points': 9} db=250MB free=4.04GB mergeCPU=307.7s
[metrics-10k] t=338s inserts=3547 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 13, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 8} db=239MB free=4.16GB mergeCPU=315.8s
[metrics-10k] t=343s inserts=3600 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 12, 'otel_metrics_number_points': 11} db=240MB free=4.29GB mergeCPU=320.5s
[metrics-10k] t=348s inserts=3652 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 8} db=246MB free=4.32GB mergeCPU=324.4s
[metrics-10k] t=353s inserts=3705 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 10} db=255MB free=4.26GB mergeCPU=328.2s
[metrics-10k] t=358s inserts=3757 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 8} db=248MB free=4.19GB mergeCPU=337.2s
[metrics-10k] t=363s inserts=3808 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 9, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 6} db=245MB free=4.12GB mergeCPU=341.7s
