otel_metrics_sum	Exemplars.TimeUnix	0.004	1965.7
otel_metrics_sum	AggregationTemporality	0.003	1414.4
otel_metrics_sum	producer_epoch	0.002	437.6
otel_metrics_sum	producer_id	0.002	437.6
otel_metrics_sum	ServiceName	0.001	1120
otel_metrics_sum	MetricName	0.001	1003.1
otel_metrics_sum	IsMonotonic	0.001	988.7
otel_metrics_sum	schema_version	0.001	1473.9
otel_metrics_sum	ScopeSchemaUrl	0	6.6
otel_metrics_sum	ScopeDroppedAttrCount	0	6.6
otel_metrics_sum	Flags	0	6.6
otel_metrics_sum_points	Value	1.152	6.9
otel_metrics_sum_points	batch_id	0.068	117.6
otel_metrics_sum_points	TimeUnix	0.06	66.5
otel_metrics_sum_points	series_id	0.025	326
otel_metrics_sum_points	received_at	0.022	363.5
otel_metrics_sum_points	StartTimeUnix	0.015	274.9
otel_metrics_sum_points	row_ordinal	0.011	363.3
otel_metrics_sum_points	Exemplars.TimeUnix	0.005	1459.7
otel_metrics_sum_points	MetricName	0.001	1127.2
otel_metrics_sum_points	ServiceName	0.001	1017
otel_metrics_sum_points	producer_id	0.001	1138.4
otel_metrics_sum_points	producer_epoch	0.001	1138.4
otel_metrics_sum_points	schema_version	0.001	1456.8
otel_metrics_sum_points	Flags	0	234.2
otel_metrics_summary	ResourceAttributes	15.122	32.9
otel_metrics_summary	ValueAtQuantiles.Value	7.191	3.3
otel_metrics_summary	Sum	6.642	1.2
otel_metrics_summary	Count	1.505	5.3
otel_metrics_summary	Attributes	0.739	36.3
otel_metrics_summary	batch_id	0.588	13.6
otel_metrics_summary	MetricDescription	0.319	114.5
otel_metrics_summary	ResourceSchemaUrl	0.268	175.2
otel_metrics_summary	ValueAtQuantiles.Quantile	0.265	120.8
otel_metrics_summary	ScopeName	0.257	62.1
otel_metrics_summary	ScopeVersion	0.257	50.6
otel_metrics_summary	MetricUnit	0.255	39.2
otel_metrics_summary	received_at	0.237	33.7
otel_metrics_summary	row_ordinal	0.078	51.6
otel_metrics_summary	TimeUnix	0.06	66.4
otel_metrics_summary	StartTimeUnix	0.024	166.3
otel_metrics_summary	schema_version	0.009	227.9
otel_metrics_summary	producer_id	0.007	143.8
otel_metrics_summary	producer_epoch	0.007	143.8
otel_metrics_summary	ScopeAttributes	0.003	2611.7
otel_metrics_summary	ServiceName	0.002	470.7
otel_metrics_summary	MetricName	0.002	458.8
otel_metrics_summary	ScopeDroppedAttrCount	0.001	3.7
otel_metrics_summary	ScopeSchemaUrl	0.001	3.7
otel_metrics_summary	Flags	0.001	3.7
otel_metrics_summary_points	ValueAtQuantiles.Value	6.02	4
otel_metrics_summary_points	Sum	4.38	1.8
otel_metrics_summary_points	Count	0.865	9.2
otel_metrics_summary_points	ValueAtQuantiles.Quantile	0.268	119.2
